"Indicators","BNC","BPH","BUH","CAPITALBK","SOGEBK","UNIBNK","SOGEBL","CBNA","TOTAL","Parts1_fr","Parts2_fr","Parts1_en","Parts2_en","Date","SCOTIA","BICH","SOCABK","PROMOBK","SOCABL","BHD..","BHD"
"FONDS_PROPRES_reserves_(prov._pour_pertes_sur_prets)",0,0,0,0,0,0,0,0,0,"Fonds propres","Fonds propres","Equity","Equity","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"FONDS_PROPRES_surplus_d'apport",0,174325,1210135.63001,1384,0,0,0,0,1385844.63001,"Fonds propres","Fonds propres","Equity","Equity","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"FONDS_PROPRES_bnr",4025185,-860190.95849,1218112.259654,2895878,5318951.76078,5850947.35571,344337.36339,320578,19113798.781044,"Fonds propres","Fonds propres","Equity","Equity","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"HORS-BILAN_effets_a_l'encaissement",1242730,0,0,0,37347.96571,3648.378052342,0,0,1283726.34376234,"Hors-bilan","Hors-bilan","Off-balance sheet","Off-balance sheet","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"HORS-BILAN_credit_documentaire",0,0,0,0,1936095.68164,1537809.28406064,0,0,3473904.96570064,"Hors-bilan","Hors-bilan","Off-balance sheet","Off-balance sheet","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"HORS-BILAN_autres",4628093,228433.7153,2512948.53814683,256277,9264403.43703,1897810.77876051,495070.158135,536283.99167,19819320.6190423,"Hors-bilan","Hors-bilan","Off-balance sheet","Off-balance sheet","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"PORTEFEUILLE_DE_CRÉDIT_portefeuille_brut",27608895,1261351.12995,14569656.0011329,12297078,38701882.09902,41034652.89971,4980092.11091,96667,140550274.240723,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"PORTEFEUILLE_DE_CRÉDIT_provisions_pour_creances_douteuses",3416774,959433.05932,1178363.75363303,225180,1847048.1412,792967.68097,174781.49019,0,8594548.12531303,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"PORTEFEUILLE_DE_CRÉDIT_portefeuille_de_credit_improductif",5580256,1073668.21934,979785.514782399,66086,932897,51063.91722,225595.95974,0,8909352.6110824,"Portefeuille de crédit","Portefeuille de crédit","Loan portfolio","Loan portfolio","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔTS_EN_USD_CONVERTIS_EN_HTG_depots_us_convertis",37278720,2536728.15459,22561772.7636292,23842808,75970495.0669105,117416060.593752,5338631.74508,2989056,287934272.323962,"Dépôts en USD convertis en HTG","Dépôts en USD convertis en HTG","Deposit in US converted in HTG","Deposit in US converted in HTG","2021-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_encaisse",9033083,171789.12006,936195.522992997,711643,2934600.81261,2225294.76694942,43873.57762,102454,16158933.8002324,"Actif","Actif liquide","Asset","Liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_la_brh",18577168,1036059.12276,6812077.94661932,8442509,32351838.14929,43418814.6414939,1373337.94816,4980375,116992179.808323,"Actif","Actif liquide","Asset","Liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_a_l'etranger",1535542,420285.21962,809536.142442291,2748317,3482506.07808,5764792.63371401,0,1059358,15820337.0738563,"Actif","Actif liquide","Asset","Liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_avoirs_dans_les_banques_locales",0,0,20381.146093474,2113,7509.36567,-4.49293875135481e-09,114547.79958,0,144551.31134347,"Actif","Actif liquide","Asset","Liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_LIQUIDE_autres_liquidites",629530,83326.0472,5534.282145246,235475,174819.34513,1040449.48122646,18128.01823,53830,2241092.1739317,"Actif","Actif liquide","Asset","Liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_b.r.h.",7550000,751000,4e+05,0,320000,0,0,0,9021000,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.",4525420,139156.02476,0,0,0,165048.68279,0,0,4829624.70755,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_autres_placements",10255433,29050.23698,376585.850866094,1678962,16764742.67946,26590182.4920491,818296.44007,0,56513252.6994252,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_portefeuille_net",16927589,730501.51751,12423672.2738541,10558877,30004764.64312,36315495.97061,4456461.45432,509944,111927305.859414,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_immobilisations",2066845.37069,307608.41051,762474.364,793098,2883937.75426,2420480.15645,531664.78536,298281,10064389.84127,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"ACTIF_ILLIQUIDE_autres_actifs",2278947,261822.96198,335728.328416596,635637,3364180.38422,3861660.82022391,150853.99872,31791,10920621.4935605,"Actif","Actif illiquide","Asset","Non-liquid asset","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_a_vue",30616034,1653907.58055,5659380.82224623,8746627,29952248.4165723,43310024.0713318,1856295.49885,5024173,126818690.38955,"Passif","Dépôt","Liability","Deposit","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_epargne",18239741,403268.26254,3402021.12038553,4652582,25379429.7496419,37375169.1216033,744706.24677,449851,90646768.5009408,"Passif","Dépôt","Liability","Deposit","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"DÉPÔT_a_terme",8487823.39,1495458.19733,7402074.23361554,7479794,19271174.7730941,23789733.7639629,1869191.65939,41728,69836978.0173925,"Passif","Dépôt","Liability","Deposit","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_banques_locales",0,0,0,300000,0,2275810.19335,0,0,2575810.19335,"Passif","Obligations à vue","Liability","Demand bonds","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_banques_a_l'etranger",0,0,0,0,0,0,0,0,0,"Passif","Obligations à vue","Liability","Demand bonds","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_VUE_autres",2233417,143684.65585,968799.44096246,882557,3259001.16123,1528920.79695964,135087.39135,1009568,10161035.4463521,"Passif","Obligations à vue","Liability","Demand bonds","2018-12-01",NA,NA,NA,NA,NA,NA,NA
"OBLIGATIONS_À_TERME_banques_locales",2154220,62499.99985,2375893.43583,572090,2017389.03244,0,1909101.16527,0,9091193.63339,"Passif","Obligations à terme","Liability","Term bonds","2018-12-01",NA,NA,NA,NA,NA,NA,NA
